topic,difficulty,text,options,correct_index,used
Sport,2,Kolik setů se obvykle hraje ve volejbale na vítězství?,"[""3"", ""2"", ""4"", ""5""]",0,False
Sport,3,Který stát vyhrál mistrovství světa ve fotbale 2018?,"[""Francie"", ""Chorvatsko"", ""Německo"", ""Brazílie""]",0,False
Sport,3,Jak dlouhý je maraton?,"[""42.195 km"", ""40 km"", ""45 km"", ""50 km""]",0,False
Sport,3,Který tenista má nejvíce grandslamových titulů ve dvouhře mužů (2024)?,"[""Novak Djoković"", ""Roger Federer"", ""Rafael Nadal"", ""Pete Sampras""]",0,False
Hudba,1,Kolik strun má klasická kytara?,"[""6"", ""4"", ""5"", ""7""]",0,False
Hudba,1,Který hudební nástroj má klávesy?,"[""Piano"", ""Housle"", ""Trumpeta"", ""Buben""]",0,False
Hudba,1,Kdo byl členem skupiny Beatles?,"[""John Lennon"", ""Elvis Presley"", ""Freddie Mercury"", ""Mick Jagger""]",0,False
Hudba,2,Který hudební skladatel složil symfonii Osudovou?,"[""Ludwig van Beethoven"", ""Mozart"", ""Bach"", ""Chopin""]",0,False
Hudba,2,Jaký hudební nástroj hrál Wolfgang Amadeus Mozart?,"[""Klavír"", ""Kytara"", ""Bicí"", ""Saxofon""]",0,False
Hudba,2,Který hudební styl je spojen s Louisem Armstrongem?,"[""Jazz"", ""Rock"", ""Hip hop"", ""Metal""]",0,False
Hudba,3,Která kapela vydala album The Dark Side of the Moon?,"[""Pink Floyd"", ""Queen"", ""Led Zeppelin"", ""The Rolling Stones""]",0,False
Hudba,3,Který skladatel složil Čtvero ročních dob?,"[""Antonio Vivaldi"", ""Johann Sebastian Bach"", ""Joseph Haydn"", ""Franz Schubert""]",0,False
Hudba,3,Který český skladatel složil symfonii Z Nového světa?,"[""Antonín Dvořák"", ""Bedřich Smetana"", ""Leoš Janáček"", ""Bohuslav Martinů""]",0,False
